city_name;cdek_id;region_name;regionCode;subRegion;kladr;paymentLimit
Сокирино;44536;Костромская;42;Сусанинский;4402200012600;-1
Благодать;55962;Московская;9;Дмитровский;5000500006100;0
Головное;15163;Ростовская;45;Волгодонской;6100900003900;0
Бияш;59159;Ставропольский;19;Нефтекумский;2601800002400;-1
Кулаково;13785;Тюменская;52;Тюменский;7200100003300;-1
Славянка;2872;Приморский;18;Хасанский;2502100000100;0
Тойси-Паразуси;48553;"Чувашская Республика -";64;Ибресинский;2100600005400;0
Игнатовка;41808;Белгородская;16;Старооскольский;3101800002500;0
Жигули;45057;Самарская;57;Ставропольский;6302200001800;0
Верховажье;2026;Вологодская;51;Верховажский;3500700000100;0
Заикинский;31305;Ростовская;45;Верхнедонской;6100700001600;0
"Степная Репьевка";33102;Ульяновская;70;Цильнинский;7302000003200;0
Кокшамары;50064;"Марий Эл";32;Звениговский;1200400002400;0
Тойворово;14776;Ленинградская;26;Гатчинский;4700700022600;-1
Дружный;62530;Челябинская;3;Кунашакский;7403300001500;0
Власов;29872;Белгородская;16;Алексеевский;3100200001800;-1
Пруды;39224;Крым;90;Кировский;9100400001800;-1
Владимир;49884;Иркутская;4;Заларинский;3800700000500;0
Стуково;50187;Алтайский;2;Павловский;2203200002900;0
Уральцевское;43165;Курганская;28;Далматовский;4500500005400;-1
Заводопетровское;14248;Тюменская;52;Ялуторовский;7202100000400;0
Желудево;50974;Рязанская;41;Шиловский;6202500002000;0
"Малая Царевщина";44903;Самарская;57;Красноярский;6301600004500;0
Старокалмашево;34822;Башкортостан;27;Чекмагушевский;0204900006200;0
Бельск;42981;Иркутская;4;Черемховский;3802500000900;-1
Миллерово;51044;Ростовская;45;Куйбышевский;6102000001800;0
Бискамжа;42745;Хакасия;74;Аскизский;1900300001200;0
"Верхний Ломов";34107;Пензенская;69;Нижнеломовский;5802200001100;0
Корсаково;14438;Орловская;36;Корсаковский;5701000000100;-1
Кострома;46387;Камчатский;55;Карагинский;4101000000500;0
Махошевская;47815;Краснодарский;7;Мостовский;2302300002300;-1
"Кривые Балки";30236;Белгородская;16;Прохоровский;3101500006700;0
Губачёво;15918;Костромская;42;Костромской;4400100004800;-1
Саваткино;62049;"Чувашская Республика -";64;Ядринский;2102000009100;0
Шепилово;61288;Московская;9;Серпуховский;5003200016800;-1
Саконы;44317;Нижегородская;67;Ардатовский;5200200007000;0
Восточный;35809;Краснодарский;7;Северский;2302900001300;-1
Пустоселов;16725;Адыгея;61;Красногвардейский;0100300001800;-1
Бишня;49738;Татарстан;39;Зеленодольский;1602100001300;0
Борково;52167;Новосибирская;23;Маслянинский;5401800000700;0
Новопоселеновка;13668;Курская;62;Курский;4602900012400;-1
Узянбаш;35975;Башкортостан;27;Белорецкий;0201100004500;0
Ивановка;62558;Воронежская;63;Россошанский;3602800002800;0
Горячеводский;3010;Ставропольский;19;Пятигорск;2600000701100;-1
Молдаванское;35457;Краснодарский;7;Крымский;2301800005300;-1
Поляна;44951;Нижегородская;67;Перевозский;5203400003900;0
Глубокий;74935;Ростовская;45;Зимовниковский;6101400001600;0
Писаревка;23688;Брянская;29;Унечский;3202700006800;0
Репенка;30627;Белгородская;16;Красногвардейский;3101200007000;-1
"Малое Судислово";58849;Московская;9;Шаховская;5000004213900;-1
Верхнесвечниково;45615;Ростовская;45;Кашарский;6101700001200;0
Сохондо;50590;Забайкальский;49;Читинский;7500100005400;0
Хубар;43904;Дагестан;21;Казбековский;0501500001200;0
Хумара;55129;Карачаево-Черкесская;80;Карачаевский;0900400001500;0
Хабары;807;Алтайский;2;Хабарский;2205700003400;0
Богородское;35313;Нижегородская;67;Сергачский;5203800001000;0
Бородино;35128;Хакасия;74;Боградский;1900500000800;0
Губцево;47575;Тверская;50;Кашинский;6901201701400;0
"Нижний Чир";42495;Волгоградская;40;Суровикинский;3403000002400;0
Киевское;43469;"Северная Осетия - Алания";79;Моздокский;1500700000400;-1
"Первое Чурашево";52595;"Чувашская Республика -";64;Мариинско-Посадский;2101200005100;0
Максимовка;51183;Московская;9;Воскресенский;5000400004300;-1
Мирный;42832;Краснодарский;7;Гулькевичский;2300900003900;-1
Староселье;43717;Брянская;29;Унечский;3202700008400;0
Прошенино;42374;Ярославская;35;Гаврилов-Ямский;7600500014800;0
Заря;39378;Крым;90;Красногвардейский;9100500001600;0
Семчино;60246;Московская;9;Клинский;5001100019100;-1
"Куликовы Липяги";30257;Белгородская;16;Вейделевский;3100500003300;0
Решетникова;15249;Тюменская;52;Тюменский;7200100005200;-1
Теребень;55194;Калужская;33;Хвастовичский;4002400005800;0
Дивное;1472;Ставропольский;19;Апанасенковский;2600400000100;-1
Аляты;53198;Иркутская;4;Аларский;3812800000400;0
Утенково;60778;Московская;9;Ступино;5000005406300;0
Ольховатка;17083;Белгородская;16;Новооскольский;3101400007200;0
Бабка;29720;Белгородская;16;Валуйский;3100400000400;0
Няндома;1949;Архангельская;66;Няндомский;2901300100000;0
Гилиб;62732;Дагестан;21;Чародинский;0504200000700;0
Тазово;35445;Курская;62;Золотухинский;4600800002700;0
Садовое;22996;Калмыкия;46;Сарпинский;0801000000100;0
Калачиги;51623;Кировская;44;Верхошижемский;4300700003400;0
Лифаново;58700;Московская;9;Дмитровский;5000500021600;-1
Мазунино;45489;Пермский;22;Кунгурский;5901200014000;-1
Ширинга;45046;Бурятия;12;Еравнинский;0300500001900;0
Анненка;55275;Московская;9;Клинский;5001100001200;0
Сосновка;2591;Кировская;44;Вятскополянский;4300800200000;-1
Вурнары;3191;"Чувашская Республика -";64;Вурнарский;2100500000100;-1
Эсто-Алтай;35996;Калмыкия;46;Яшалтинский;0801400001800;0
Толочаново;60621;Московская;9;Ступино;5000005407500;0
Семиозерный;47546;Забайкальский;49;Могочинский;7501400002800;0
"Верхняя Синячиха";13101;Свердловская;24;Алапаевский;6600200002000;-1
Талицы;39797;Ивановская;8;Южский;3702000007900;0
Абалмасов;29684;Белгородская;16;Волоконовский;3100600000200;0
Новоишметово;39158;Башкортостан;27;Дюртюлинский;0206000003100;0
Лесное;58750;Московская;9;Луховицы;5000004807900;-1
Яровое;778;Алтайский;2;Яровое;2200001200000;0
Оренбург;261;Оренбургская;5;Оренбург;5600000100000;-1
Новобелая;48748;Воронежская;63;Кантемировский;3601300003300;0
Гарцево;42948;Брянская;29;Стародубский;3202300003400;0
Хмелевицы;55460;Нижегородская;67;Шахунья;5200000909900;0
"Мокрый Мичкасс";31860;Пензенская;69;Пачелмский;5802400002200;0
Климковка;55776;Кировская;44;Белохолуницкий;4300400001800;0
Ильицино;58462;Московская;9;Зарайск;5000004601300;-1
Павловка;30501;Белгородская;16;Корочанский;3101000008900;0
Возрождение;32215;Саратовская;47;Хвалынский;6403800002200;0
Кобралово;14769;Ленинградская;26;Гатчинский;4700700009100;-1
Клин-Бельдин;58043;Московская;9;Зарайск;5000004601100;-1
Шмакова;45869;Свердловская;24;Ирбитский;6601200011400;-1
Варандей;14538;Ненецкий;77;Заполярный;8300100004500;0
Шалдежка;55562;Нижегородская;67;Семенов;5200000603600;0
Гнилое;52108;Курская;62;Поныровский;4601800000700;0
Новоникольское;39396;Крым;90;Красногвардейский;9100500008200;-1
Быстрянский;56313;Ростовская;45;Орловский;6103000000300;-1
Владимирово;17204;Московская;9;Ступино;5000005404100;-1
Струговка;38180;Приморский;18;Октябрьский;2501200002100;0
Юдина;46613;Свердловская;24;Ирбитский;6601200011700;-1
Евлашево;36376;Пензенская;69;Кузнецкий;5801500001200;0
Комсомольский;37893;Краснодарский;7;Кореновский;2301500001700;-1
Нерусса;46565;Брянская;29;Суземский;3202400001900;0
Громково;15112;Московская;9;Ногинский;5002100003600;-1
Мурали;45196;Татарстан;39;Кайбицкий;1602200003200;0
Бережки;36031;Тверская;50;Конаковский;6901500001300;0
Солнечное;43671;Дагестан;21;Хасавюртовский;0503700003900;0
Андреевка;52290;Омская;15;Саргатский;5502500000500;-1
Быково;37553;Новосибирская;23;Новосибирский;5400100001000;0
Озерный;42876;Мордовия;68;Зубово-Полянский;1300900007000;0
Первомайское;50568;Оренбургская;5;Соль-Илецкий;5601500002400;0
Скорякино;60341;Московская;9;Волоколамский;5000300018200;-1
Новоивановская;39156;Краснодарский;7;Новопокровский;2302500002200;-1
Озеро-Куреево;49370;Алтай;25;Турочакский;0400500001200;0
Первомайский;49976;Воронежская;63;Эртильский;3603300004300;0
Дренево;44445;Костромская;42;Красносельский;4400800005100;-1
Керчь;15254;Крым;90;Керчь;9100000100000;-1
Казаково;61246;Липецкая;60;Воловский;4800200003400;0
Заволжье;3168;Ярославская;35;Ярославский;7600100016000;0
Жердь;51235;Архангельская;66;Мезенский;2901200001100;0
Берендино;55814;Московская;9;Воскресенский;5000400000900;0
"Малая Кочерма";52211;Иркутская;4;Куйтунский;3801300003200;0
Радиоцентра-9;15158;Московская;9;Ногинский;5002100012000;-1
Жабино;31583;Ленинградская;26;Гатчинский;4700700002200;-1
Леппясюрья;56642;Карелия;73;Суоярвский;1001500000400;-1
Лисино-Корпус;35293;Ленинградская;26;Тосненский;4701800000300;-1
Новопокровское;47248;Тульская;37;Богородицкий;7100500006000;-1
Заречье-Второе;30051;Белгородская;16;Грайворонский;3100700001600;0
Котово;1575;Волгоградская;40;Котовский;3401500100000;-1
Борки;15785;Московская;9;Одинцовский;5002200001600;-1
Жуланиха;55297;Алтайский;2;Заринский;2201400001700;0
Кавалерово;2868;Приморский;18;Кавалеровский;2500500000100;0
Обуса;42738;Иркутская;4;Осинский;3813200001500;0
Алонка;45180;Хабаровский;14;Верхнебуреинский;2700600000400;0
Георгиевка;62691;Алтайский;2;Ребрихинский;2203700000600;0
Давыдова;43205;Свердловская;24;Каменский;6601300002200;-1
Городец;1005;Нижегородская;67;Городецкий;5202000100000;-1
Бердяш;37779;Башкортостан;27;Зилаирский;0202300001700;0
"Бородинского лесничества";58749;Московская;9;Можайский;5001800036100;-1
Владимировка;56865;Московская;9;Лотошинский;5001500001800;-1
"Малое Сырково";58880;Московская;9;Волоколамский;5000300011700;-1
Сарыг-Сеп;3072;Тыва;75;Каа-Хемский;1700500000100;0
"Средние Татмыши";47148;"Чувашская Республика -";64;Канашский;2100700007900;0
"Сибирские Огни";15517;Алтайский;2;Павловский;2203200002600;0
Псыншоко;54873;Кабардино-Балкарская;78;Прохладненский;0700500003200;0
"Дубовый Мыс";49833;Хабаровский;14;Нанайский;2701100001000;0
Тамбовка;53242;Саратовская;47;Федоровский;6403700001700;0
Аксеново;33438;Омская;15;Усть-Ишимский;5503100000300;0
Никольское;17068;Белгородская;16;Белгородский;3102200005200;-1
"Старая Чекалда";62292;Татарстан;39;Агрызский;1600200005300;0
"Новая Таволжанка";13927;Белгородская;16;Шебекинский;3102000006500;-1
Шаховское;44356;Тульская;37;Узловский;7102200010300;-1
"Белый Колодезь";29745;Белгородская;16;Новооскольский;3101400000300;0
Груцинов;51146;Ростовская;45;Каменский;6101600003100;0
Раскатово;37115;Саратовская;47;Марксовский;6402100004600;0
Ангарск;280;Иркутская;4;Ангарск;3800000400000;-1
Морозовка;39672;Нижегородская;67;Арзамасский;5200300005200;-1
Ямки;47115;"Ханты-Мансийский Автономный округ - Югра";11;Кондинский;8600400003300;0
"Русская Бектяшка";62114;Ульяновская;70;Сенгилеевский;7301500001000;0
Новоярково;56578;Новосибирская;23;Барабинский;5400300002700;-1
Нижнедолговский;53915;Волгоградская;40;Нехаевский;3401900001400;0
Вознесенье;49083;Архангельская;66;Приморский;2900100004200;0
Трофимово;55223;Ярославская;35;Даниловский;7600600052400;0
"Верхняя Грязнуха";37899;Волгоградская;40;Камышинский;3401100000800;0
"Подсобного х-ва Минзаг";42645;Москва;81;Краснопахорское;7700800001700;-1
Теплинка;30785;Белгородская;16;Алексеевский;3100200008700;-1
"Ясная Поляна";51151;Дагестан;21;Кизлярский;0502000010200;0
Преображенка;48203;Оренбургская;5;Красногвардейский;5604900004000;0
Клепиково;48665;Алтайский;2;Усть-Пристанский;2205600000900;0
Ольховка;24184;Волгоградская;40;Ольховский;3402300000100;0
Аксёново;34887;Томская;53;Томский;7001700001100;-1
Выдел;35526;Ростовская;45;Родионово-Несветайский;6103400001800;0
Досанг;14934;Астраханская;34;Красноярский;3000700002600;-1
Екатериновка;50081;Орловская;36;Ливенский;5701300003800;-1
Шоруньжа;38246;"Марий Эл";32;Моркинский;1200900014600;0
Тулумбаиха;36414;Пермский;22;Оханский;5901800005900;-1
Власово;24262;Московская;9;Раменский;5002800003300;-1
Семеново;36405;Нижегородская;67;Уренский;5204500012200;-1
Пено;24143;Тверская;50;Пеновский;6902500000100;-1
Эрдниевский;61787;Калмыкия;46;Юстинский;0801300000800;0
Муравлянка;50785;Тульская;37;Кимовский;7101300009800;-1
Реченский;50146;Волгоградская;40;Алексеевский;3400200000800;-1
Бархатово;13793;Тюменская;52;Исетский;7201000000400;-1
Нечаевка;55236;Пензенская;69;Мокшанский;5801900006200;0
Казы-Ельдяк;49718;Башкортостан;27;Дюртюлинский;0206000003500;0
Аревское;55291;Московская;9;Дмитровский;5000500004100;0
Октябрьский;50111;Краснодарский;7;Павловский;2302700002000;0
Рогово;31181;Москва;81;Роговское;7701500001500;-1
Ярково;3081;Тюменская;52;Ярковский;7202200000100;0
Сулея;13911;Челябинская;3;Саткинский;7401700002800;-1
"Большие Ключищи";34482;Ульяновская;70;Ульяновский;7300100005200;0
Хребет;59149;Челябинская;3;Миасс;7400001003700;-1
Кочетовка;47003;Тамбовская;58;Мичуринск;6800000600300;-1
Покровка;59397;Оренбургская;5;Грачевский;5602100001700;-1
Ежовка;36491;Волгоградская;40;Киквидзенский;3401200001400;0
Нагорное;53817;Нижегородская;67;Чкаловский;5204600013500;0
Чарышское;48125;Алтайский;2;Усть-Калманский;2205500002400;0
"дск Московский Писатель";42586;Москва;81;Внуковское;7700100001300;-1
Потин;48785;Краснодарский;7;Белореченский;2300600004300;-1
Соль-Илецк;2831;Оренбургская;5;Соль-Илецкий;5601500100000;0
Орловский;47280;Рязанская;41;Пронский;6201200005600;0
Жуковка;15826;Московская;9;Пушкинский;5002700002600;-1
Конец-Бор;52741;Пермский;22;Краснокамский;5903500005600;-1
Юж-Толешево;62323;"Марий Эл";32;Медведевский;1200800013400;0
Зорино;31093;Курская;62;Обоянский;4601600001000;-1
Костевка;30178;Белгородская;16;Корочанский;3101000005000;0
Араповка;59505;Ульяновская;70;Сурский;7301800000500;-1
Варваровка;14425;Амурская;56;Октябрьский;2801200000600;0
Спас-Коркодино;15290;Московская;9;Клинский;5001100020300;-1
Калаус;47004;Чеченская;71;Надтеречный;2000700000800;0
Стрыгино;60533;Московская;9;Руза;5000004512900;0
Краснокаменка;37273;Крым;90;Феодосия;9100001000700;-1
Азинский;47951;Пермский;22;Чернушинский;5902800008100;-1
Сергиевка;16837;Астраханская;34;Икрянинский;3000500004900;-1
"Городское поселение Снегири";54810;Московская;9;Истринский;5000903300000;0
Грязцы;43423;Орловская;36;Ливенский;5701300003000;-1
Мирный;1951;Архангельская;66;Коношский;2900700009400;-1
Титово;60609;Московская;9;Дмитровский;5000500040500;-1
Архангельское;1661;Московская;9;Красногорск;5000004901000;-1
Березовка;36963;Иркутская;4;Тайшетский;3801900000300;0
Бузан-Пристань;16868;Астраханская;34;Красноярский;3000700001300;-1
Корякино;15021;Московская;9;Щелковский;5004000004100;-1
Сарафановка;63247;Томская;53;Молчановский;7001100001900;0
Малоархангельск;2847;Орловская;36;Малоархангельский;5701400100000;-1
Зеленевка;47644;Воронежская;63;Аннинский;3600200002100;0
Суганка;52888;Пермский;22;Еловский;5900700003000;0
Согра;63076;Архангельская;66;Котласский;2900800005000;0
Новоросляевка;53256;Саратовская;47;Дергачевский;6401100001300;0
Ражево;33140;Тюменская;52;Голышмановский;7200800005100;0
Шестаки;53783;Кемеровская;54;Беловский;4200200005700;0
Дубенки;57688;Московская;9;Коломна;5000002704100;-1
Кислокан;43808;Красноярский;13;Эвенкийский;2404400000300;0
Литвино;36024;Архангельская;66;Ленский;2901000006700;0
Золотово;35359;Московская;9;Воскресенский;5000400002800;-1
"Старое Демкино";62429;Пензенская;69;Шемышейский;5802800003300;0
Нечаевка;37406;Дагестан;21;Кизилюртовский;0501900001200;0
Бурково;56298;Московская;9;Можайский;5001800004400;-1
Воскресеновка;46866;Астраханская;34;Лиманский;3000800001100;0
"Старый Токмак";58162;Татарстан;39;Заинский;1602000006600;-1
Хомяковская;56946;Архангельская;66;Холмогорский;2901800007500;-1
Еремеевка;63541;Ростовская;45;Азовский;6100200002800;0
Бушуиха;50977;Вологодская;51;Грязовецкий;3501000005400;0
Катасонов;55646;Волгоградская;40;Михайловский;3401800001900;0
Звездный;39115;Кемеровская;54;Кемеровский;4200100001700;-1
Талица;36956;Кировская;44;Фаленский;4303700004800;0
Сердеж;43601;Кировская;44;Яранский;4304000014900;0
Целинный;49731;Ставропольский;19;Буденновский;2600700002300;0
Куяново;24512;Башкортостан;27;Краснокамский;0203100000300;0
Криводановка;1246;Новосибирская;23;Новосибирский;5400100012000;-1
Львово;16326;Московская;9;Истринский;5000900059600;-1
Новоеловка;48618;Алтайский;2;Троицкий;2205200002400;0
"Зеленый Дол";55929;Свердловская;24;Березовский;6600000300300;0
"Земляные Хутора";61826;Саратовская;47;Аткарский;6400400000900;0
Березовка;37725;Алтайский;2;Красногорский;2202100000300;0
Советский;1217;"Ханты-Мансийский Автономный округ - Югра";11;Советский;8600800100000;-1
Романовка;17352;Московская;9;Кашира;5000003807300;-1
Гагарье;62181;Тюменская;52;Казанский;7201200001300;0
Павло-Очаково;63560;Ростовская;45;Азовский;6100200008000;0
Жемчужный;35818;Краснодарский;7;Крымский;2301800014800;-1
Усть-Изес;51230;Новосибирская;23;Венгеровский;5400500004400;0
Зареченский;47711;Воронежская;63;Таловский;3603000004100;0
Раевка;37873;Саратовская;47;Ивантеевский;6401500000900;0
Николаевка;46742;Астраханская;34;Наримановский;3000900004700;0
Грибной;48921;Новосибирская;23;Черепановский;5402800001100;0
Омсукчан;2741;Магаданская;59;Омсукчанский;4900300000100;0
Степанищево;62482;Орловская;36;Покровский;5701800013800;0
Марковский;23042;Пермский;22;Чайковский;5900001201700;0
Бабушкино;14444;Вологодская;51;Чагодощенский;3502400007700;0
Крайновка;54871;Дагестан;21;Кизлярский;0502000003600;0
Безменово;35485;Новосибирская;23;Черепановский;5402800000400;0
Борисовский;46653;Свердловская;24;"Нижняя Тура";6600001400600;-1
Новоизобильный;36330;Ставропольский;19;Изобильненский;2601000000800;-1
Калиновка;30102;Белгородская;16;Вейделевский;3100500002500;0
Озёрный;58167;Коми;1;Печора;1100000501800;-1
Новодугино;14478;Смоленская;65;Новодугинский;6701400000100;-1
Чеканиха;37622;Алтайский;2;Усть-Пристанский;2205600002600;0
Гурское;36819;Хабаровский;14;Комсомольский;2701000001200;0
Солдато-Александровское;31658;Ставропольский;19;Советский;2602300001200;-1
Молоково;34255;Тверская;50;Молоковский;6902100000100;0
Баженово;33441;Омская;15;Саргатский;5502500000600;0
Новенькое;45010;Брянская;29;Суземский;3202400002200;0
Криница;62245;Воронежская;63;Острогожский;3602000003700;0
"Старое Котяково";33672;"Чувашская Республика -";64;Батыревский;2100400004100;0
Теплое;39541;Крым;90;Симферопольский;9101200012000;-1
Моздок;2014;"Северная Осетия - Алания";79;Моздокский;1500700100000;-1
Некрасовка;33864;Орловская;36;Орловский;5700100015500;-1
Рудня;13124;Волгоградская;40;Руднянский;3402500000100;-1
Волдынь;57002;Московская;9;Талдомский;5003500002800;-1
Сосновка;43696;Башкортостан;27;Белорецкий;0201100005700;0
Ерзовка;52754;Пермский;22;Частинский;5902600000300;0
Жилконцы;57777;Московская;9;Зарайск;5000004601600;-1
Тростенец;30805;Белгородская;16;Новооскольский;3101400010100;0
"Новые Забалки";61864;Пензенская;69;Городищенский;5800800004300;0
Сенькино;53010;Пермский;22;Добрянка;5900000602900;0
Натырбово;16703;Адыгея;61;Кошехабльский;0100200001400;-1
Великополье;56423;"Марий Эл";32;Оршанский;1201100001300;-1
Прогресс;16004;Свердловская;24;Первоуральск;6600001602000;-1
"Каменский Хутор";62814;Брянская;29;Климовский;3201200003100;0
Колесур;45340;Удмуртская;48;Селтинский;1802000003000;0
Айдарово;45676;Татарстан;39;Зеленодольский;1602100000200;0
Новоасбест;31755;Свердловская;24;Пригородный;6601900006100;-1
"Орлов Лог";38117;Воронежская;63;Семилукский;3602900019900;0
Лопатино;49345;Мордовия;68;Лямбирский;1301600003300;-1
Кочкурово;62998;Нижегородская;67;Починковский;5203600002600;0
Обливская;2917;Ростовская;45;Обливский;6102800000100;0
Гвазда;50340;Воронежская;63;Бутурлиновский;3600600000800;0
Новоалександровка;30425;Белгородская;16;Борисовский;3100300002800;0
Танзыбей;36844;Красноярский;13;Ермаковский;2401400002300;-1
Краснознаменское;43323;Курганская;28;Мишкинский;4501300002300;0
Торгашино;16163;Московская;9;Сергиево-Посадский;5003000025500;-1
Неверово;59435;Московская;9;Руза;5000004511700;-1
Латное;13127;Воронежская;63;Семилукский;3602900003000;-1
"Черная Грязь";1385;Московская;9;Солнечногорский;5003300016400;-1
Уваровка;1569;Московская;9;Можайский;5001800028200;-1
Ростов;434;Ярославская;35;Ростовский;7601400100000;-1
Первомайский;52634;Краснодарский;7;"Горячий Ключ";2300000401800;-1
Орлецкое;54194;Амурская;56;Тамбовский;2801800001900;0
Приданниково;36417;Свердловская;24;Красноуфимский;6601500005400;-1
Руднево;16095;Москва;81;Новофедоровское;7701300000500;-1
Берёзовка;44711;Алтайский;2;Чарышский;2205900000400;-1
Протичка;37219;Краснодарский;7;Красноармейский;2301600003600;-1
Колбаса;1984;Новосибирская;23;Кыштовский;5401700002400;0
"Большая Речка";47350;Бурятия;12;Кабанский;0300900001100;0
Аксеново;44106;Владимирская;17;Гусь-Хрустальный;3300500000400;0
Мекенская;32709;Чеченская;71;Наурский;2000800000200;0
Вохринка;24264;Московская;9;Раменский;5002800003800;-1
Винно-Банново;61438;Самарская;57;Кинель-Черкасский;6301100001000;0
Языково;61555;Московская;9;Дмитровский;5000500045600;-1
Купелицы;58414;Московская;9;Наро-Фоминск;5000005215500;-1
"Мичуринский лесоучасток";41296;Тамбовская;58;Мичуринский;6800800007100;-1
Полоцкое;45964;Саратовская;47;Самойловский;6403200002500;0
Шубное;43541;Воронежская;63;Острогожский;3602000009200;0
Сертолово;1209;Ленинградская;26;Всеволожский;4700500200000;-1
Федоровка;53238;Саратовская;47;Федоровский;6403700001800;0
Мураново;58982;Московская;9;Пушкинский;5002700005400;-1
Зубачево;45314;Московская;9;Сергиево-Посадский;5003000502400;-1
Шубинка;55849;Алтайский;2;Егорьевский;2201000001900;0
Ламишино;58784;Московская;9;Истринский;5000900051800;-1
Мишковка;56400;Брянская;29;Стародубский;3202300011400;-1
Кузоватово;3115;Ульяновская;70;Кузоватовский;7300700002400;0
Матышево;42481;Волгоградская;40;Руднянский;3402500002900;0
"Большие Харлуши";44142;Челябинская;3;Сосновский;7403800008000;0
Троицкое;790;Алтайский;2;Троицкий;2205200000100;0
"Большой Бабинский";48533;Волгоградская;40;Алексеевский;3400200000300;-1
Сеяха;33207;Ямало-Ненецкий;6;Ямальский;8900700000800;0
Герасимова;45709;Орловская;36;Болховский;5700200004400;-1
Марьинское;58923;Московская;9;Ступино;5000005414900;-1
Виноградный;35808;Краснодарский;7;Крымский;2301800001900;-1
Покровка;14258;Тюменская;52;Сладковский;7201500004400;0
Безукладовка;43934;Тамбовская;58;Токаревский;6802200000400;-1
Помогаево;60018;Московская;9;Руза;5000004518100;-1
Бокаревка;49127;Тюменская;52;Ишимский;7201100008900;0
Ледохович;46729;Ставропольский;19;Александровский;2600200001100;0
Шахты;2349;Ростовская;45;Шахты;6100001200000;-1
Верх-Уса;52869;Пермский;22;Куединский;5901100003000;-1
Берёзовка;43767;Калужская;33;Калуга;4000000161400;-1
"Новое Бадиково";47314;Мордовия;68;Зубово-Полянский;1300900006500;0
Кадниковский;34261;Вологодская;51;Вожегодский;3500800000700;0
Некрасовское;14392;Ярославская;35;Некрасовский;7601000000100;-1
Торопово;24314;Московская;9;Раменский;5002800021500;-1
Толмачево;46316;Свердловская;24;Алапаевский;6600200011300;-1
"Русский Шуган";56996;Татарстан;39;Муслюмовский;1603000004100;-1
