Код услуги;Добавление в заказе;Название;Описание
20;Запрещено, начисляется сотрудником СДЭК;ПЕНЯ;Дополнительный сбор от кредитного контроля СДЭК.
23;Запрещено, начисляется сотрудником СДЭК;ОБРЕШЕТКА ГРУЗА;Для большей сохранности Вашего Отправления компания СДЭК предлагает услуги по обрешетке груза. Стоимость обрешетки для каждого Отправления рассчитывается индивидуально. Т.е. это индивидуальная упаковка груза.
24;Доступно только в ЛК и при оформлении через Call-центр;УПАКОВКА 1;Стоимость коробки размером 310*215*280мм — 20 руб. (для грузов до 10 кг). 
25;Доступно только в ЛК и при оформлении через Call-центр;УПАКОВКА 2;Стоимость коробки размером 430*310*280мм — 30 руб. (для грузов до 15 кг). 
26;Только при оформлении через Call-центр;АРЕНДА КУРЬЕРА;Стоимость услуги 170 руб/ час, минимальная оплата за 3 часа (510 руб). Когда необходимо доставить или принять документы в Федеральные службы, такие как: налоговые органы, министерства, посольства, суды, службы надзора и т.д., а также по заказам, требующим ожидания более часа, наша компания готова предоставить курьера.
27;Доступно только в ЛК и при оформлении через Call-центр;СМС УВЕДОМЛЕНИЕ;"Компания СДЭК предлагает каждому клиенту оформить услугу ""смс-уведомление о доставке"".Отправителю высылается сообщение с датой и временем доставки. Стоимость услуги 5 рублей. "
29;Запрещено, начисляется автоматически;СОРТИРОВКА;Расконсолидация груза и сортировка его по направлениям/адресам/получателям
30;Разрешено;ПРИМЕРКА НА ДОМУ;Курьер доставляет покупателю несколько единиц товара (одежда, обувь и пр.) для примерки. Время ожидания курьера в этом случае составляет 30 минут.
31;Доступно только в ЛК и при оформлении через Call-центр;ДОСТАВКА ЛИЧНО В РУКИ;"Услуга не совместима с тарифами ""Супер-экспресс"" и  ""Блиц-экспресс"". Компания СДЭК предлагает воспользоваться услугой ""Доставка лично в руки"" всем клиентам, которым важно, чтобы отправление было передано получателю только на основании документа, удостоверяющего личность."
32;Запрещено, начисляется автоматически в зависимости от учловий договора;СКАН ДОКУМЕНТОВ;Для подтверждения факта доставки мы можем предоставить Вам скан документов с подписью получателя. Стоимость услуги 50 руб. 
33;Доступно только в ЛК и при оформлении через Call-центр;ПОДЪЕМ НА ЭТАЖ РУЧНОЙ;"Услуга предоставляется при необходимости подъема на этаж крупногабаритных и тяжелых отправлений (весом от 10 кг).
Разделяется на 2 вида: «Подъем на этаж ручной» и «Подъем на этаж лифтом».
Стоимость услуги «Подъем на этаж ручной» (без лифта)
•для веса до 30 кг включительно — 50 руб каждый этаж
•для веса 31-50 кг — 70 руб каждый этаж
•для веса 51-100 кг — 100 руб каждый этаж д
•ля веса 101-150 кг — 130 руб каждый этаж
•для веса свыше 150 кг — 150 руб каждый этаж
Стоимость услуги «Подъем на этаж лифтом»:
•для веса до 30 кг включительно — 50 руб
•для веса 31-50 кг — 70 руб
•для веса 51-100 кг — 100 руб
•для веса 101-150 кг — 130 руб
•для веса свыше 100 кг — 150 руб
"
34;Доступно только в ЛК и при оформлении через Call-центр;ПОДЪЕМ НА ЭТАЖ ЛИФТОМ;"Услуга предоставляется при необходимости подъема на этаж крупногабаритных и тяжелых отправлений (весом от 10 кг).
Разделяется на 2 вида: «Подъем на этаж ручной» и «Подъем на этаж лифтом».
Стоимость услуги «Подъем на этаж ручной» (без лифта)
•для веса до 30 кг включительно — 50 руб каждый этаж
•для веса 31-50 кг — 70 руб каждый этаж
•для веса 51-100 кг — 100 руб каждый этаж д
•ля веса 101-150 кг — 130 руб каждый этаж
•для веса свыше 150 кг — 150 руб каждый этаж
Стоимость услуги «Подъем на этаж лифтом»:
•для веса до 30 кг включительно — 50 руб
•для веса 31-50 кг — 70 руб
•для веса 51-100 кг — 100 руб
•для веса 101-150 кг — 130 руб
•для веса свыше 100 кг — 150 руб
"
35;Запрещено, начисляется автоматически;ПРОЗВОН;"Услуга для интернет-магазинов ""Прозвон"" включает в себя предварительный прозвон получателей перед доставкой операторами call-центра. Стоимость услуги 15 руб 1 заказ. "
36;Разрешено;ЧАСТИЧНАЯ ДОСТАВКА;Во время доставки товара покупатель может отказаться от одной или нескольких позиций, и выкупить только часть заказа 
37;Разрешено;ОСМОТР ВЛОЖЕНИЯ;Проверка покупателем содержимого заказа до его оплаты (вскрытие посылки). 
38;Доступно только в ЛК и при оформлении через Call-центр;ОТПРАВКА В ВЕЧЕРНЕЕ ВРЕМЯ;"Компания СДЭК осуществляет доставку и отправление документов и грузов в вечернее время.
При доставке или отправлении документов в вечернее время к базовому тарифу добавляется 300 руб.
"
39;Доступно только в ЛК и при оформлении через Call-центр;ДОСТАВКА В ВЕЧЕРНЕЕ ВРЕМЯ;"Компания СДЭК осуществляет доставку и отправление документов и грузов в вечернее время.
При доставке или отправлении документов в вечернее время к базовому тарифу добавляется 300 руб.
"
40;Запрещено, начисляется автоматически;ТЕПЛОВОЙ РЕЖИМ;Направления, по которым возможна доставка с тепловым режимом: Кемерово-Новокузнецк, Новосибирск-Красноярск, Новосибирск-Кемерово, Новосибирск-Томск, Новосибирск-Омск, Новосибирск-Барнаул, Барнаул-Горно-Алтайск И В ОБРАТНЫХ НАПРАВЛЕНИЯХ! 
41;Запрещено, начисляется автоматически;ВОЗВРАТ ДОКУМЕНТОВ;Служба доставки «СДЭК» предоставляет услугу обратной доставки сопроводительных документов с отметками получателя, а также возврат товаров для интернет-магазинов и других торговых предприятий. 
42;Запрещено, начисляется автоматически;АГЕНТСКОЕ ВОЗНАГРАЖДЕНИЕ;Наша компания оказывает услуги по приему  денежных средств от клиента за товар и  РКО 
